Youtuber,Country,highest_monthly_earnings
GEN HALILINTAR,Indonesia,109200
SQUEEZIE,France,192400
Blippi - Educational Videos for Kids,United States,721600
officialpsy,South Korea,260000
Ajay Sharma,nan,0
Manual do Mundo,Brazil,219100
How Ridiculous,Australia,1600000
And TV,United States,0.02
Sebastiï¿½ï¿½ï¿½,United States,443100
SonyMusicSouthVEVO,United States,1000000
TheGrefg,Spain,175300
BeatboxJCOP,nan,5500000
David Dobrik,United States,34600
KatieAngel,United States,206700
RobleisIUTU,Argentina,110200
Lele Pons,United States,74200
Demi Lovato,United States,116700
Like Nastya VNM,Vietnam,337900
Jason Derulo,United States,1800000
MGC Playhouse,United States,410500
Zuni and Family,nan,0.02
Priyal Kukreja,India,1700000
MSA previously My Story Animated,United States,83
ýýýýýýýýý KIMPRO,South Korea,13600000
Jane ASMR ï¿½ï¿½,South Korea,0
ArianaGrandeVevo,United States,389700
jaanvi patel,India,1400000
tanboy kun,Indonesia,192700
Lil Pump,nan,0
Porta dos Fundos,Brazil,141300
News 24,Ukraine,1500000
Les' Copaque Production,Malaysia,470900
El Payaso Plim Plim,Argentina,2600000
zbing z.,Thailand,220500
MissaSinfonia,Mexico,109800
ýýýýýýýýý Liziqi,China,89400
The Game Theorists,Australia,0
DeGoBooM,Chile,400900
JFlaMusic,South Korea,44400
FactTechz,India,84200
News18 India,India,1600000
Fun For Kids TV - Hindi Rhymes,India,439400
IGN,United States,393400
Aphmau,United States,1800000
AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Thailand,944000
ýýýýýýýýýýýýýýýý - Al-Remas,Iraq,452000
Koray Zeynep,nan,1700000
Apple,United States,185900
Stubborn Facts,India,3400
Taarak Mehta Ka Ooltah Chashmah,India,1300000
HowToBasic,Australia,62100
PopularMMOs,nan,61200
Marques Brownlee,United States,209300
Anitta,Brazil,290700
Jason Vlogs,Australia,0.1
El Reino a Jugar,Argentina,334800
Willyrex,Spain,61600
TheBrianMaps,Russia,148700
TRANS TV Official,Indonesia,183200
Liza Koshy,United States,7000
Queen Official,United Kingdom,375100
Prajapati News,India,30500
Gaby and Alex,nan,0
LuisFonsiVEVO,United States,199300
Pop Chartbusters,India,291600
Guava Juice,United States,43600
EeOneGuy,United States,6500
VICE,United States,145400
Aayu and Pihu Show,India,359100
Danny Fitt,United States,1100000
Bispo Bruno Leonardo,Brazil,598200
DeToxoMoroxo,nan,0
Doggy Doggy Cartoons,nan,0
deepesh zo,nan,0
Like Nastya IDN,Indonesia,171300
Gato Galactico | GALï¿½ï¿,Brazil,176500
Salman Noman,nan,0.03
CoryxKenshin,United States,420500
With Kids[ï¿½ï¿½ï¿½ï¿½ï,United States,182800
Travis Scott,United States,150
Tu COSMOPOLIS,Mexico,64600
Ivana Alawi,Philippines,60300
Werever2morro,Mexico,0
IDEAS EN 5 MINUTOS,Spain,262
NMF News,India,236800
SriBalajiMovies,India,616200
Lahari Music - TSeries,India,356000
Younes Zarou,Germany,2500000
Jordan Matter,United States,796100
ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,United States,87800
FailArmy,United States,451900
BBC News Hindi,India,524800
FunFun Toy Doll TV,United States,97500
Sandra Cires Art,United States,72100
Kaykai Salaider,Thailand,37400
UFC - Ultimate Fighting Championship,United States,532800
Ch7HD,Thailand,351000
RCTI - LAYAR DRAMA INDONESIA,nan,0
Alfredo Larin,nan,0
GMMTV OFFICIALï¿½ï¿½,Thailand,725500
Matt Stonie,United States,119
Boyce Avenue,United States,115100
Camila Cabello,United States,170800
Little Mix,United Kingdom,154400
SAM SMITH,United Kingdom,343100
Pitbull,United States,352000
Bollywood Classics,India,605900
Technoblade,United States,71800
W2S,United Kingdom,12300
Jennifer Lopez,United States,253800
Kids Play,United States,103600
T3ddy,Brazil,132100
JJ Olatunji,United Kingdom,111200
POPS Kids,Vietnam,1000000
Thairath Online,Thailand,899000
LEGO,Singapore,468800
XO TEAM,United States,152
AdMe,Spain,0.02
ExtraPolinesios,nan,2
Dyland PROS,Indonesia,38500
Live,nan,0
Vlad and Niki ARA,United States,128000
Canal IN,Brazil,55200
TWICE,nan,394900
Daily Dose Of Internet,United States,1600000
FitDance,France,3
Panda Shorts,Sweden,1900000
Disney Junior,United States,1100000
La Rosa de Guadalupe,Mexico,0
sagar kalra (Shorts),nan,296200
wifistudy,India,57100
Antrax,Mexico,18800
Enes Batur,nan,0
Totoy kids - Espaï¿½ï,Mexico,449600
ýýýýýýýýýý,Russia,0
DopeLyrics,United States,39700
jeffreestar,United States,8000
Lyna,Argentina,256300
MK MUSIC,Brazil,545600
Unspeakable,United States,659600
Camilo,Colombia,239600
Dear Sir,India,96200
Narendra Modi,India,743900
Arif muhammad,Indonesia,287500
Rotten Tomatoes Trailers,United States,103000
Volga Video,India,205300
DM - Desi Melodies,India,567400
MY FAMILY,Singapore,3800
Team Films Bhojpuri,India,123000
Zee Music Classic,India,345800
Prime Video India,United States,1300000
Caeli YT,Mexico,0
Kuplinov ï¿½ï¿½ï¿,nan,394600
Linus Tech Tips,Canada,352900
Juliana Baltar,Brazil,224900
5-Minute Crafts FAMILY,United States,109500
Blippi Espaï¿½ï,Mexico,360000
Super Senya,nan,0
Katakit Baby TV,Saudi Arabia,363700
Infobells Bangla,India,671600
ýýýýýýýý ýý ýýýýýýýý,Saudi Arabia,540100
Henrique e Juliano,Brazil,654700
Mr DegrEE,United States,0
Kashvi Adlakha,India,556500
Talking Tom & Friends,United States,109500
ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,Egypt,131700
Harsh Beniwal,India,111900
FFUNTV,United Arab Emirates,320700
Mobile Legends: Bang Bang,United States,221500
Roman Atwood Vlogs,United States,6300
Mrwhosetheboss,United Kingdom,670800
Genierock,Thailand,331200
zayn,United States,147200
Kerajinan 5-Menit,Indonesia,79000
FC Barcelona,Spain,339500
Dave and Ava - Nursery Rhymes and Baby Songs,United States,308200
LOKESH GAMER,India,23700
ILYA BORZOV,Russia,1900000
Mazhavil Manorama,India,1400000
Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,India,261500
The MriDul,India,393300
Niana Guerrero,Philippines,39900
SRK MUSIC,India,231200
Sony LIV,India,843600
T-Series Hamaar Bhojpuri,India,423900
Oyuncak Avï¿,Turkey,17700
CNN,United States,748000
NDTV India,India,198600
It's Mamix,United States,63900
Kim Loaiza,nan,104200
Daftar Populer,Indonesia,68900
Musas,Andorra,0.34
Ranz Kyle,Philippines,49500
PowerfulJRE,United States,173600
Mariale,United States,47800
Makiman131,Spain,23900
Hongyu ASMR ï¿½ï¿½,nan,0
Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,Egypt,184200
EdisonPts,Russia,382400
BIGBANG,South Korea,163200
Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Argentina,2000000
ABS-CBN News,Philippines,726600
Chapitosiki,Russia,2900000
AdeleVEVO,United Kingdom,339000
MoreAliA,United Kingdom,1000000
Chetan Monga Vlogs,India,454300
Little Angel - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Brazil,581900
League of Legends,United States,172500
TheRichest,United States,0
XpressTV,Mexico,135500
PlayStation,United States,167200
Kwebbelkop,United States,118900
Republic Bharat,India,4
THE BROWN SIBLINGS,India,409400
Sony Music South,India,968700
BigSchool,nan,0
